ID,CNN,STREET,PCI_Score,From_Street,To_Street,PCI_Change_Date,Treatment_or_Survey,Street_Accepted_For_Maintenance,Functional_Class
1,113000,01st St,40,Lansing St,Harrison St \ I-80 E On Ramp,8/14/2018,Survey,Yes,Arterial
2,112000,01st St,42,Guy Pl,Lansing St,8/14/2018,Survey,Yes,Arterial
3,111000,01st St,58,Folsom St,Guy Pl,8/14/2018,Survey,Yes,Arterial
4,107000,01st St,67,Howard St,Tehama St,8/14/2018,Survey,Yes,Arterial
5,104001,01st St,68,Mission St,Transbay Hump,8/14/2018,Survey,Yes,Arterial
6,108001,01st St,70,Tehama St,Clementina St,8/14/2018,Survey,Yes,Arterial
7,104002,01st St,72,Transbay Hump,Minna St,8/14/2018,Survey,Yes,Arterial
8,100000,01st St,79,Bush St \ Market St,Stevenson St,8/14/2018,Survey,Yes,Arterial
9,101000,01st St,80,Stevenson St,End,8/14/2018,Survey,Yes,Arterial
10,103000,01st St,80,End,Mission St,8/14/2018,Survey,Yes,Arterial
11,102000,01st St,83,End,End,8/14/2018,Survey,Yes,Arterial
12,106000,01st St,95,Natoma St,Howard St,8/14/2018,Survey,Yes,Arterial
13,105000,01st St,95,Minna St,Natoma St,8/14/2018,Survey,Yes,Arterial
14,30731000,01st St,100,Bush St \ Market St,Intersection,4/16/2014,Treatment,No,
15,110000,01ST ST,74,CLEMENTINA ST,FOLSOM ST,8/10/2009,Survey,No,
16,114000,01ST ST,100,HARRISON ST \ I-80 E ON RAMP,END,10/29/2008,Survey,No,
17,108001,01ST ST,80,TEHAMA ST,CLEMENTINA ST,11/19/2002,Survey,Yes,
18,104002,01ST ST,100,END,MINNA ST,11/19/2002,Survey,Yes,
19,104001,01ST ST,100,MISSION ST,END,11/19/2002,Survey,Yes,
20,24564000,01ST ST,100,END,Intersection,5/9/2001,Treatment,No,
21,24530000,01ST ST,100,END,Intersection,5/9/2001,Treatment,No,
22,24532000,01ST ST,100,HOWARD ST,Intersection,5/9/2001,Treatment,No,
23,24534000,01ST ST,100,NATOMA ST,Intersection,5/9/2001,Treatment,No,
24,24542000,01ST ST,100,MINNA ST,Intersection,5/9/2001,Treatment,No,
25,24563000,01ST ST,100,MISSION ST,Intersection,5/9/2001,Treatment,No,
26,24666000,01ST ST,100,STEVENSON ST,Intersection,5/9/2001,Treatment,No,
27,121000,02nd Ave,100,Cornwall St,Clement St,7/5/2019,Treatment,Yes,Residential
28,126000,02nd Ave,100,Cabrillo St,Fulton St,7/5/2019,Treatment,Yes,Residential
29,118000,02nd Ave,100,End,Lake St,7/5/2019,Treatment,Yes,Residential
30,119000,02nd Ave,85,Lake St,California St,10/21/2018,Survey,Yes,Residential
31,128000,02nd Ave,84,Hugo St,Irving St,8/7/2018,Survey,Yes,Residential
32,127000,02nd Ave,85,Lincoln Way,Hugo St,8/7/2018,Survey,Yes,Residential
33,122000,02nd Ave,85,Clement St,Geary Blvd,8/2/2018,Survey,Yes,Residential
34,123000,02nd Ave,87,Geary Blvd,Anza St,8/2/2018,Survey,Yes,Residential
35,120000,02nd Ave,100,California St,Cornwall St,6/6/2018,Treatment,Yes,Residential
36,125000,02nd Ave,100,Balboa St,Cabrillo St,6/6/2018,Treatment,Yes,Residential
37,124000,02nd Ave,100,Anza St,Balboa St,11/30/2017,Treatment,Yes,Residential
38,27210000,02nd Ave,100,Fulton St,Intersection,12/17/2013,Treatment,No,
39,27070000,02ND AVE,100,HUGO ST,Intersection,3/17/2008,Treatment,No,
40,27231000,02ND AVE,100,GEARY BLVD,Intersection,5/22/2003,Treatment,No,
41,27212000,02nd Ave: Cabrillo St Intersection,100,CABRILLO ST,Intersection,7/5/2019,Treatment,No,
42,27565000,02nd Ave: Cornwall St Intersection,100,CORNWALL ST,Intersection,7/5/2019,Treatment,No,
43,27068000,02nd Ave: Irving St Intersection,100,IRVING ST,Intersection,8/1/2019,Treatment,No,
44,27181000,02nd Ave: Lincoln Way Intersection,100,LINCOLN WAY,Intersection,6/29/2018,Treatment,No,
45,133000,02nd St,100,Minna St,Natoma St,3/14/2019,Treatment,Yes,Collector
46,131000,02nd St,100,Jessie St,Mission St,3/14/2019,Treatment,Yes,Collector
47,134000,02nd St,100,Natoma St,Howard St,3/14/2019,Treatment,Yes,Collector
48,130000,02nd St,100,Stevenson St,Jessie St,3/14/2019,Treatment,Yes,Collector
49,132000,02nd St,100,Mission St,Minna St,3/14/2019,Treatment,Yes,Collector
50,129000,02nd St,100,Market St,Stevenson St,3/14/2019,Treatment,Yes,Collector
51,137000,02nd St,100,Clementina St,Folsom St,1/18/2019,Treatment,Yes,Collector
52,135000,02nd St,100,Howard St,Tehama St,1/18/2019,Treatment,Yes,Collector
53,136000,02nd St,100,Tehama St,Clementina St,1/18/2019,Treatment,Yes,Collector
54,145000,02nd St,43,South Park,De Boom St,10/17/2018,Survey,Yes,Collector
55,141000,02nd St,48,Stillman St,Bryant St,10/17/2018,Survey,Yes,Collector
56,146000,02nd St,52,De Boom St,Brannan St,10/17/2018,Survey,Yes,Collector
57,147000,02nd St,53,Brannan St,Townsend St,10/17/2018,Survey,Yes,Collector
58,142000,02nd St,54,Bryant St,Taber Pl,10/17/2018,Survey,Yes,Collector
59,143000,02nd St,58,Taber Pl,Federal St,10/17/2018,Survey,Yes,Collector
60,138000,02nd St,58,Folsom St,Dow Pl,10/17/2018,Survey,Yes,Collector
61,139000,02nd St,59,Dow Pl,Harrison St,10/17/2018,Survey,Yes,Collector
62,144000,02nd St,66,Federal St,South Park,10/17/2018,Survey,Yes,Collector
63,148000,02nd St,100,Townsend St,King St,5/11/2018,Treatment,Yes,Collector
64,140000,02ND ST,54,HARRISON ST,STILLMAN ST,8/10/2009,Survey,No,
65,24490000,02ND ST,100,BRYANT ST,Intersection,12/19/2003,Treatment,No,
66,23589000,02ND ST,100,KING ST,Intersection,3/18/2000,Treatment,No,
67,23800000,02ND ST,100,TOWNSEND ST,Intersection,3/18/2000,Treatment,No,
68,24519000,02ND ST,100,FOLSOM ST,Intersection,3/2/2000,Treatment,No,
69,24535000,02nd St: Clementina St Intersection,100,CLEMENTINA ST,Intersection,1/18/2019,Treatment,No,
70,24540000,02nd St: Howard St Intersection,100,HOWARD ST,Intersection,3/14/2019,Treatment,No,
71,24605000,02nd St: Jessie St Intersection,100,JESSIE ST,Intersection,3/14/2019,Treatment,No,
72,24594000,02nd St: Minna St Intersection,100,MINNA ST,Intersection,3/14/2019,Treatment,No,
73,24543000,02nd St: Natoma St Intersection,100,NATOMA ST,Intersection,3/14/2019,Treatment,No,
74,24618000,02nd St: Stevenson St Intersection,100,STEVENSON ST,Intersection,3/14/2019,Treatment,No,
75,24539000,02nd St: Tehama St Intersection,100,TEHAMA ST,Intersection,1/18/2019,Treatment,No,
76,158000,03rd Ave,100,Cabrillo St,Fulton St,11/27/2018,Treatment,Yes,Residential
77,151000,03rd Ave,83,Lake St,California St,10/21/2018,Survey,Yes,Residential
78,160000,03rd Ave,80,Lincoln Way,Hugo St,8/7/2018,Survey,Yes,Residential
79,162000,03rd Ave,83,Irving St,Parnassus Ave,8/7/2018,Survey,Yes,Residential
80,161000,03rd Ave,87,Hugo St,Irving St,8/7/2018,Survey,Yes,Residential
81,154000,03rd Ave,78,Clement St,Geary Blvd,8/2/2018,Survey,Yes,Residential
82,153000,03rd Ave,81,Cornwall St,Clement St,8/2/2018,Survey,Yes,Residential
83,156000,03rd Ave,85,Anza St,Balboa St,8/2/2018,Survey,Yes,Residential
84,152000,03rd Ave,87,California St,Cornwall St,8/2/2018,Survey,Yes,Residential
85,157000,03rd Ave,96,Balboa St,Cabrillo St,8/2/2018,Survey,Yes,Residential
86,155000,03rd Ave,87,Geary Blvd,Anza St,6/6/2018,Treatment,Yes,Residential
87,27233000,03rd Ave,100,Fulton St,Intersection,12/17/2013,Treatment,No,
88,159000,03RD AVE,100,KEZAR DR \ LINCOLN WAY,LINCOLN WAY,10/29/2008,Survey,No,
89,27236000,03RD AVE,100,ANZA ST,Intersection,9/16/2008,Treatment,No,
90,27582000,03RD AVE,100,CORNWALL ST,Intersection,3/13/2008,Treatment,No,
91,27245000,03RD AVE,100,GEARY BLVD,Intersection,5/22/2003,Treatment,No,
92,27234000,03RD AVE,100,CABRILLO ST,Intersection,1/1/1999,Treatment,No,
93,27079000,03rd Ave: Irving St Intersection,100,IRVING ST,Intersection,8/1/2019,Treatment,No,
94,209201,03rd St,56,La Salle Ave,Mckinnon Ave,9/15/2018,Survey,Yes,Arterial
95,195101,03rd St,59,26th St,Cesar Chavez St,9/15/2018,Survey,Yes,Arterial
96,226101,03rd St,69,Egbert Ave,Fitzgerald Ave,9/15/2018,Survey,Yes,Arterial
97,223201,03rd St,69,Armstrong Ave,Bancroft Ave,9/15/2018,Survey,Yes,Arterial
98,227102,03rd St,69,Fitzgerald Ave,Keith St,9/15/2018,Survey,Yes,Arterial
99,203101,03rd St,70,Fairfax Ave,Galvez Ave,9/15/2018,Survey,Yes,Arterial
100,214201,03rd St,70,Quesada Ave,Bay View St \ Revere Ave,9/15/2018,Survey,Yes,Arterial
101,187201,03rd St,71,Mariposa St,18th St,9/15/2018,Survey,Yes,Arterial
102,198201,03rd St,71,Arthur Ave \ Cargo Way,Burke Ave,9/15/2018,Survey,Yes,Arterial
103,228201,03rd St,71,Gilman Ave \ Paul Ave,Hollister Ave,9/15/2018,Survey,Yes,Arterial
104,189101,03rd St,72,19th St,20th St,9/15/2018,Survey,Yes,Arterial
105,227103,03rd St,72,Keith St,Gilman Ave \ Paul Ave,9/15/2018,Survey,Yes,Arterial
106,207201,03rd St,72,Jerrold Ave \ Newhall St,Kirkwood Ave,9/15/2018,Survey,Yes,Arterial
107,232101,03rd St,73,Key Ave,Le Conte Ave,9/15/2018,Survey,Yes,Arterial
108,188101,03rd St,73,18th St,19th St,9/15/2018,Survey,Yes,Arterial
109,215201,03rd St,73,Bay View St \ Revere Ave,Shafter Ave,9/15/2018,Survey,Yes,Arterial
110,197201,03rd St,74,Marin St,Arthur Ave \ Cargo Way,9/15/2018,Survey,Yes,Arterial
111,233101,03rd St,74,Le Conte Ave,Bay Shore Blvd \ Hwy 101 N Off Ramp \ Meade Ave,9/15/2018,Survey,Yes,Arterial
112,197101,03rd St,74,Marin St,Arthur Ave \ Cargo Way,9/15/2018,Survey,Yes,Arterial
113,187101,03rd St,74,Mariposa St,18th St,9/15/2018,Survey,Yes,Arterial
114,217101,03rd St,74,Thomas Ave,Thornton Ave,9/15/2018,Survey,Yes,Arterial
115,218201,03rd St,74,Thornton Ave,Underwood Ave,9/15/2018,Survey,Yes,Arterial
116,222201,03rd St,74,Yosemite Ave,Armstrong Ave,9/15/2018,Survey,Yes,Arterial
117,220201,03rd St,75,Van Dyke Ave \ Williams Ave,Lane St \ Wallace Ave,9/15/2018,Survey,Yes,Arterial
118,188201,03rd St,75,18th St,19th St,9/15/2018,Survey,Yes,Arterial
119,189201,03rd St,76,19th St,20th St,9/15/2018,Survey,Yes,Arterial
120,192101,03rd St,76,23rd St,24th St,9/15/2018,Survey,Yes,Arterial
121,207101,03rd St,76,Jerrold Ave \ Newhall St,Kirkwood Ave,9/15/2018,Survey,Yes,Arterial
122,223101,03rd St,76,Armstrong Ave,Bancroft Ave,9/15/2018,Survey,Yes,Arterial
123,222101,03rd St,76,Yosemite Ave,Armstrong Ave,9/15/2018,Survey,Yes,Arterial
124,217201,03rd St,76,Thomas Ave,Thornton Ave,9/15/2018,Survey,Yes,Arterial
125,200101,03rd St,77,Custer Ave,Davidson Ave,9/15/2018,Survey,Yes,Arterial
126,230101,03rd St,77,Ingerson Ave,Hwy 101 S On Ramp \ Jamestown Ave,9/15/2018,Survey,Yes,Arterial
127,196000,03rd St,77,Cesar Chavez St,Marin St,9/15/2018,Survey,Yes,Arterial
128,231101,03rd St,77,Hwy 101 S On Ramp \ Jamestown Ave,Key Ave,9/15/2018,Survey,Yes,Arterial
129,225101,03rd St,77,Carroll Ave,Donner Ave,9/15/2018,Survey,Yes,Arterial
130,210101,03rd St,78,Mckinnon Ave,Newcomb Ave,9/15/2018,Survey,Yes,Arterial
131,214101,03rd St,78,Quesada Ave,Bay View St \ Revere Ave,9/15/2018,Survey,Yes,Arterial
132,210201,03rd St,78,Mckinnon Ave,Newcomb Ave,9/15/2018,Survey,Yes,Arterial
133,230202,03rd St,78,Salinas Ave,Hwy 101 S On Ramp \ Jamestown Ave,9/15/2018,Survey,Yes,Arterial
134,216101,03rd St,78,Shafter Ave,Thomas Ave,9/15/2018,Survey,Yes,Arterial
135,229101,03rd St,78,Hollister Ave,Ingerson Ave,9/15/2018,Survey,Yes,Arterial
136,211201,03rd St,79,Newcomb Ave,Oakdale Ave,9/15/2018,Survey,Yes,Arterial
137,195201,03rd St,79,26th St,Cesar Chavez St,9/15/2018,Survey,Yes,Arterial
138,208201,03rd St,79,Kirkwood Ave,La Salle Ave,9/15/2018,Survey,Yes,Arterial
139,204101,03rd St,79,Galvez Ave,Hudson Ave,9/15/2018,Survey,Yes,Arterial
140,220101,03rd St,80,Van Dyke Ave \ Williams Ave,Lane St,9/15/2018,Survey,Yes,Arterial
141,213201,03rd St,80,Mendell St \ Palou Ave,Quesada Ave,9/15/2018,Survey,Yes,Arterial
142,201000,03rd St,80,Davidson Ave,Evans Ave,9/15/2018,Survey,Yes,Arterial
143,204201,03rd St,80,Galvez Ave,Hudson Ave,9/15/2018,Survey,Yes,Arterial
144,191201,03rd St,80,22nd St,23rd St,9/15/2018,Survey,Yes,Arterial
145,228101,03rd St,81,Gilman Ave \ Paul Ave,Hollister Ave,9/15/2018,Survey,Yes,Arterial
146,225102,03rd St,81,Donner Ave,Egbert Ave,9/15/2018,Survey,Yes,Arterial
147,190101,03rd St,81,20th St,22nd St,9/15/2018,Survey,Yes,Arterial
148,220102,03rd St,81,Lane St,Lane St \ Wallace Ave,9/15/2018,Survey,Yes,Arterial
149,206102,03rd St,81,Newhall St,Jerrold Ave \ Newhall St,9/15/2018,Survey,Yes,Arterial
150,193101,03rd St,81,24th St,25th St,9/15/2018,Survey,Yes,Arterial
151,205101,03rd St,81,Hudson Ave,Innes Ave,9/15/2018,Survey,Yes,Arterial
152,225201,03rd St,81,Carroll Ave,Egbert Ave,9/15/2018,Survey,Yes,Arterial
153,212201,03rd St,81,Oakdale Ave,Mendell St \ Palou Ave,9/15/2018,Survey,Yes,Arterial
154,227201,03rd St,81,Fitzgerald Ave,Gilman Ave \ Paul Ave,9/15/2018,Survey,Yes,Arterial
155,224101,03rd St,81,Bancroft Ave,Carroll Ave,9/15/2018,Survey,Yes,Arterial
156,199101,03rd St,81,Burke Ave,Custer Ave,9/15/2018,Survey,Yes,Arterial
157,202101,03rd St,82,Evans Ave,Fairfax Ave,9/15/2018,Survey,Yes,Arterial
158,209101,03rd St,82,La Salle Ave,Mckinnon Ave,9/15/2018,Survey,Yes,Arterial
159,208101,03rd St,82,Kirkwood Ave,La Salle Ave,9/15/2018,Survey,Yes,Arterial
160,224201,03rd St,82,Bancroft Ave,Carroll Ave,9/15/2018,Survey,Yes,Arterial
161,198101,03rd St,82,Arthur Ave \ Cargo Way,Burke Ave,9/15/2018,Survey,Yes,Arterial
162,206201,03rd St,82,Innes Ave,Jerrold Ave \ Newhall St,9/15/2018,Survey,Yes,Arterial
163,191101,03rd St,82,22nd St,23rd St,9/15/2018,Survey,Yes,Arterial
164,232201,03rd St,82,Key Ave,Le Conte Ave,9/15/2018,Survey,Yes,Arterial
165,192201,03rd St,82,23rd St,24th St,9/15/2018,Survey,Yes,Arterial
166,211101,03rd St,83,Newcomb Ave,Oakdale Ave,9/15/2018,Survey,Yes,Arterial
167,202201,03rd St,83,Evans Ave,Fairfax Ave,9/15/2018,Survey,Yes,Arterial
168,219201,03rd St,83,Underwood Ave,Van Dyke Ave \ Williams Ave,9/15/2018,Survey,Yes,Arterial
169,219101,03rd St,83,Underwood Ave,Van Dyke Ave \ Williams Ave,9/15/2018,Survey,Yes,Arterial
170,218101,03rd St,83,Thornton Ave,Underwood Ave,9/15/2018,Survey,Yes,Arterial
171,205201,03rd St,83,Hudson Ave,Innes Ave,9/15/2018,Survey,Yes,Arterial
172,193201,03rd St,83,24th St,25th St,9/15/2018,Survey,Yes,Arterial
173,226201,03rd St,83,Egbert Ave,Fitzgerald Ave,9/15/2018,Survey,Yes,Arterial
174,194101,03rd St,83,25th St,26th St,9/15/2018,Survey,Yes,Arterial
175,200201,03rd St,83,Custer Ave,Phelps St,9/15/2018,Survey,Yes,Arterial
176,199201,03rd St,83,Burke Ave,Custer Ave,9/15/2018,Survey,Yes,Arterial
177,221101,03rd St,83,Lane St \ Wallace Ave,Yosemite Ave,9/15/2018,Survey,Yes,Arterial
178,212101,03rd St,83,Oakdale Ave,Mendell St \ Palou Ave,9/15/2018,Survey,Yes,Arterial
179,229201,03rd St,84,Hollister Ave,Ingerson Ave,9/15/2018,Survey,Yes,Arterial
180,213101,03rd St,84,Mendell St \ Palou Ave,Quesada Ave,9/15/2018,Survey,Yes,Arterial
181,230201,03rd St,84,Ingerson Ave,Salinas Ave,9/15/2018,Survey,Yes,Arterial
182,215101,03rd St,84,Bay View St \ Revere Ave,Shafter Ave,9/15/2018,Survey,Yes,Arterial
183,231201,03rd St,84,Hwy 101 S On Ramp \ Jamestown Ave,Key Ave,9/15/2018,Survey,Yes,Arterial
184,194201,03rd St,84,25th St,26th St,9/15/2018,Survey,Yes,Arterial
185,221201,03rd St,84,Lane St \ Wallace Ave,Yosemite Ave,9/15/2018,Survey,Yes,Arterial
186,190201,03rd St,84,20th St,22nd St,9/15/2018,Survey,Yes,Arterial
187,200202,03rd St,85,Phelps St,Davidson Ave,9/15/2018,Survey,Yes,Arterial
188,203201,03rd St,85,Fairfax Ave,Galvez Ave,9/15/2018,Survey,Yes,Arterial
189,206101,03rd St,85,Innes Ave,Newhall St,9/15/2018,Survey,Yes,Arterial
190,216201,03rd St,87,Shafter Ave,Thomas Ave,9/15/2018,Survey,Yes,Arterial
191,186101,03rd St,55,16th St,Mariposa St,8/15/2018,Survey,Yes,Arterial
192,185105,03rd St,58,Warriors Way,16th St,8/15/2018,Survey,Yes,Arterial
193,185201,03rd St,64,Mission Rock St,China Basin St,8/15/2018,Survey,Yes,Arterial
194,184101,03rd St,67,Channel,Mission Rock St,8/15/2018,Survey,Yes,Arterial
195,185104,03rd St,69,Mission Bay Blvd,Warriors Way,8/15/2018,Survey,Yes,Arterial
196,185103,03rd St,69,Mission Bay Blvd,Mission Bay Blvd,8/15/2018,Survey,Yes,Arterial
197,185102,03rd St,69,China Basin St,Mission Bay Blvd,8/15/2018,Survey,Yes,Arterial
198,175000,03rd St,71,Bryant St,Taber Pl,8/15/2018,Survey,Yes,Arterial
199,185208,03rd St,73,Warriors Way,Campus Way,8/15/2018,Survey,Yes,Arterial
200,181000,03rd St,73,King St,Berry St,8/15/2018,Survey,Yes,Arterial
201,185101,03rd St,73,Mission Rock St,China Basin St,8/15/2018,Survey,Yes,Arterial
202,184201,03rd St,74,Channel,Mission Rock St,8/15/2018,Survey,Yes,Arterial
203,171000,03rd St,75,Saint Francis Pl,Harrison St,8/15/2018,Survey,Yes,Arterial
204,180000,03rd St,75,Townsend St,King St,8/15/2018,Survey,Yes,Arterial
205,185202,03rd St,77,China Basin St,Mission Bay Blvd,8/15/2018,Survey,Yes,Arterial
206,184001,03rd St,77,Terry A Francois Blvd,Channel,8/15/2018,Survey,Yes,Arterial
207,185204,03rd St,78,Mission Bay Blvd,Nelson Rising Ln,8/15/2018,Survey,Yes,Arterial
208,179000,03rd St,80,Brannan St,Townsend St,8/15/2018,Survey,Yes,Arterial
209,185207,03rd St,80,Nelson Rising Ln,Warriors Way,8/15/2018,Survey,Yes,Arterial
210,182000,03rd St,81,Berry St,Channel St,8/15/2018,Survey,Yes,Arterial
211,185206,03rd St,82,Campus Way,16th St,8/15/2018,Survey,Yes,Arterial
212,177000,03rd St,82,South Park,Varney Pl,8/15/2018,Survey,Yes,Arterial
213,176000,03rd St,83,Taber Pl,South Park,8/15/2018,Survey,Yes,Arterial
214,178000,03rd St,83,Varney Pl,Brannan St,8/15/2018,Survey,Yes,Arterial
215,169000,03rd St,84,Clementina St,Folsom St,8/15/2018,Survey,Yes,Arterial
216,186201,03rd St,85,16th St,Mariposa St,8/15/2018,Survey,Yes,Arterial
217,185203,03rd St,85,Mission Bay Blvd,Mission Bay Blvd,8/15/2018,Survey,Yes,Arterial
218,170000,03rd St,85,Folsom St,Saint Francis Pl,8/15/2018,Survey,Yes,Arterial
219,168000,03rd St,85,Howard St,Clementina St,8/15/2018,Survey,Yes,Arterial
220,183000,03rd St,85,Channel St,Terry A Francois Blvd,8/15/2018,Survey,Yes,Arterial
221,163000,03rd St,69,Kearny St \ Market St,Stevenson St,8/14/2018,Survey,Yes,Arterial
222,167000,03rd St,73,Minna St,Howard St,8/14/2018,Survey,Yes,Arterial
223,164000,03rd St,76,Stevenson St,Jessie St,8/14/2018,Survey,Yes,Arterial
224,165000,03rd St,83,Jessie St,Mission St,8/14/2018,Survey,Yes,Arterial
225,166000,03rd St,83,Mission St,Minna St,8/14/2018,Survey,Yes,Arterial
226,20546000,03rd St,100,Girard St \ San Bruno Ave,Intersection,3/7/2013,Treatment,No,
227,185207,03RD ST,77,NELSON RISING LN,WARRIORS WAY,1/8/2013,Survey,Yes,
228,185208,03RD ST,77,WARRIORS WAY,CAMPUS WAY,1/8/2013,Survey,Yes,
229,172000,03RD ST,50,HARRISON ST,PERRY ST,8/10/2009,Survey,No,
230,173000,03RD ST,100,PERRY ST,STILLMAN ST,8/10/2009,Survey,No,
231,174000,03RD ST,100,STILLMAN ST,BRYANT ST,8/10/2009,Survey,No,
232,23807000,03RD ST,100,TOWNSEND ST,Intersection,12/9/2008,Treatment,No,
233,233203,03RD ST,100,LE CONTE AVE,KEITH ST,7/26/2007,Survey,No,
234,23796000,03RD ST,100,BERRY ST,Intersection,1/12/2007,Treatment,No,
235,23555000,03RD ST,100,22ND ST,Intersection,10/31/2006,Treatment,No,
236,23564000,03RD ST,100,20TH ST,Intersection,10/31/2006,Treatment,No,
237,23567000,03RD ST,100,19TH ST,Intersection,10/31/2006,Treatment,No,
238,23570000,03RD ST,100,18TH ST,Intersection,10/31/2006,Treatment,No,
239,23572000,03RD ST,100,MARIPOSA ST,Intersection,10/31/2006,Treatment,No,
240,24609000,03RD ST,100,MINNA ST,Intersection,2/22/2006,Treatment,No,
241,24616000,03RD ST,100,JESSIE ST,Intersection,2/22/2006,Treatment,No,
242,24639000,03RD ST,100,STEVENSON ST,Intersection,2/22/2006,Treatment,No,
243,185101,03RD ST,48,MISSION ROCK ST,CHINA BASIN ST,11/16/2005,Survey,Yes,
244,185102,03RD ST,48,CHINA BASIN ST,MISSION BAY BLVD,11/16/2005,Survey,Yes,
245,185103,03RD ST,48,MISSION BAY BLVD,MISSION BAY BLVD,11/16/2005,Survey,Yes,
246,185201,03RD ST,48,MISSION ROCK ST,CHINA BASIN ST,11/16/2005,Survey,Yes,
247,185202,03RD ST,48,CHINA BASIN ST,MISSION BAY BLVD,11/16/2005,Survey,Yes,
248,185203,03RD ST,48,MISSION BAY BLVD,MISSION BAY BLVD,11/16/2005,Survey,Yes,
249,185204,03RD ST,48,MISSION BAY BLVD,NELSON RISING LN,11/16/2005,Survey,Yes,
250,185206,03RD ST,48,CAMPUS WAY,16TH ST,11/16/2005,Survey,Yes,
251,185104,03RD ST,48,MISSION BAY BLVD,WARRIORS WAY,11/16/2005,Survey,Yes,
252,185105,03RD ST,48,WARRIORS WAY,16TH ST,11/16/2005,Survey,Yes,
253,184001,03RD ST,50,TERRY A FRANCOIS BLVD,CHANNEL ST,11/16/2005,Survey,Yes,
254,184201,03RD ST,50,CHANNEL ST,MISSION ROCK ST,11/16/2005,Survey,Yes,
255,184101,03RD ST,50,CHANNEL ST,MISSION ROCK ST,11/16/2005,Survey,Yes,
256,23811000,03RD ST,100,BRANNAN ST,Intersection,10/28/2005,Treatment,No,
257,23817000,03RD ST,100,VARNEY PL,Intersection,10/28/2005,Treatment,No,
258,23830000,03RD ST,100,TABER PL,Intersection,10/28/2005,Treatment,No,
259,24583000,03RD ST,100,FOLSOM ST,Intersection,10/28/2005,Treatment,No,
260,24587000,03RD ST,100,CLEMENTINA ST,Intersection,10/28/2005,Treatment,No,
261,24590000,03RD ST,100,HOWARD ST,Intersection,10/28/2005,Treatment,No,
262,24592000,03RD ST,100,SAINT FRANCIS PL,Intersection,10/28/2005,Treatment,No,
263,28061000,03RD ST,100,SOUTH PARK,Intersection,10/28/2005,Treatment,No,
264,20213000,03RD ST,100,MCKINNON AVE,Intersection,9/26/2005,Treatment,No,
265,20219000,03RD ST,100,JERROLD AVE \ NEWHALL ST,Intersection,9/26/2005,Treatment,No,
266,20223000,03RD ST,100,KIRKWOOD AVE,Intersection,9/26/2005,Treatment,No,
267,20224000,03RD ST,100,LA SALLE AVE,Intersection,9/26/2005,Treatment,No,
268,20455000,03RD ST,100,FITZGERALD AVE,Intersection,9/26/2005,Treatment,No,
269,20457000,03RD ST,100,EGBERT AVE,Intersection,9/26/2005,Treatment,No,
270,20460000,03RD ST,100,JAMESTOWN AVE \ HWY 101 S ON RAMP,Intersection,9/26/2005,Treatment,No,
271,20465000,03RD ST,100,BAY SHORE BLVD \ HWY 101 N OFF RAMP,Intersection,9/26/2005,Treatment,No,
272,20466000,03RD ST,100,KEY AVE,Intersection,9/26/2005,Treatment,No,
273,20467000,03RD ST,100,LE CONTE AVE,Intersection,9/26/2005,Treatment,No,
274,20471000,03RD ST,100,HOLLISTER AVE,Intersection,9/26/2005,Treatment,No,
275,20472000,03RD ST,100,PAUL AVE,Intersection,9/26/2005,Treatment,No,
276,20473000,03RD ST,100,INGERSON AVE,Intersection,9/26/2005,Treatment,No,
277,20475000,03RD ST,100,SALINAS AVE,Intersection,9/26/2005,Treatment,No,
278,20485000,03RD ST,100,WALLACE AVE,Intersection,9/26/2005,Treatment,No,
279,20489000,03RD ST,100,CARROLL AVE,Intersection,9/26/2005,Treatment,No,
280,20491000,03RD ST,100,YOSEMITE AVE,Intersection,9/26/2005,Treatment,No,
281,20493000,03RD ST,100,ARMSTRONG AVE,Intersection,9/26/2005,Treatment,No,
282,20496000,03RD ST,100,QUESADA AVE,Intersection,9/26/2005,Treatment,No,
283,20498000,03RD ST,100,REVERE AVE,Intersection,9/26/2005,Treatment,No,
284,20500000,03RD ST,100,SHAFTER AVE,Intersection,9/26/2005,Treatment,No,
285,20502000,03RD ST,100,THOMAS AVE,Intersection,9/26/2005,Treatment,No,
286,20504000,03RD ST,100,WILLIAMS AVE,Intersection,9/26/2005,Treatment,No,
287,20507000,03RD ST,100,UNDERWOOD AVE,Intersection,9/26/2005,Treatment,No,
288,20508000,03RD ST,100,THORNTON AVE,Intersection,9/26/2005,Treatment,No,
289,20515000,03RD ST,100,DONNER AVE,Intersection,9/26/2005,Treatment,No,
290,20517000,03RD ST,100,BANCROFT AVE,Intersection,9/26/2005,Treatment,No,
291,20659000,03RD ST,100,OAKDALE AVE,Intersection,9/26/2005,Treatment,No,
292,20660000,03RD ST,100,NEWCOMB AVE,Intersection,9/26/2005,Treatment,No,
293,33263000,03RD ST,100,LANE ST,Intersection,9/26/2005,Treatment,No,
294,33269000,03RD ST,100,PALOU AVE,Intersection,9/26/2005,Treatment,No,
295,34020000,03RD ST,100,KEITH ST,Intersection,9/26/2005,Treatment,No,
296,53010000,03RD ST,100,KEITH ST,Intersection,9/26/2005,Treatment,No,
297,23831000,03RD ST,100,BRYANT ST,Intersection,12/19/2003,Treatment,No,
298,227102,03RD ST,74,FITZGERALD AVE,KEITH ST,8/13/2002,Survey,Yes,
