ID,CNN,STREET,PCI_Score,From_Street,To_Street,PCI_Change_Date,Treatment_or_Survey,Street_Accepted_For_Maintenance,Functional_Class
7195,5147000,Elizabeth St,82,Noe St,Castro St,8/16/2018,Survey,Yes,Residential
7196,5146000,Elizabeth St,83,Sanchez St,Noe St,8/16/2018,Survey,Yes,Residential
7197,5150000,Elizabeth St,84,Douglass St,Hoffman Ave,8/16/2018,Survey,Yes,Residential
7198,5141000,Elizabeth St,85,San Jose Ave,Guerrero St,8/16/2018,Survey,Yes,Residential
7199,5149000,Elizabeth St,87,Diamond St,Douglass St,8/16/2018,Survey,Yes,Residential
7200,25606000,Elizabeth St,100,Guerrero St,Intersection,4/14/2014,Treatment,No,
7201,24109000,ELIZABETH ST,100,SAN JOSE AVE,Intersection,11/7/1998,Treatment,No,
7202,26088000,Elizabeth St: Grand View Ave Intersection,100,GRAND VIEW AVE,Intersection,6/1/2018,Treatment,No,
7203,25654000,Elizabeth St: Sanchez St Intersection,100,SANCHEZ ST,Intersection,7/5/2019,Treatment,No,
7204,5154000,Elk St,47,Paradise Ave,Bosworth St \ Congo St,8/16/2018,Survey,Yes,Arterial
7205,5152000,Elk St,48,Diamond Heights Blvd \ Sussex St,Chenery St,8/16/2018,Survey,Yes,Arterial
7206,5153000,Elk St,55,Chenery St,Paradise Ave,8/16/2018,Survey,Yes,Arterial
7207,5155000,Ellert St,100,Bocana St,Bennington St,7/3/2019,Treatment,Yes,Residential
7208,5156000,Ellert St,85,Bennington St,Andover St,8/18/2018,Survey,Yes,Residential
7209,5163000,Ellington Ave,100,Naglee Ave,Whipple Ave,10/23/2018,Treatment,Yes,Residential
7210,5158000,Ellington Ave,80,Mount Vernon Ave,Ottawa Ave,9/2/2018,Survey,Yes,Residential
7211,5164000,Ellington Ave,81,Whipple Ave,Farragut Ave,9/2/2018,Survey,Yes,Residential
7212,5161000,Ellington Ave,81,Foote Ave,Dichiera Ct,9/2/2018,Survey,Yes,Residential
7213,5157000,Ellington Ave,83,End,Mount Vernon Ave,9/2/2018,Survey,Yes,Residential
7214,5162000,Ellington Ave,83,Dichiera Ct,Naglee Ave,9/2/2018,Survey,Yes,Residential
7215,5159000,Ellington Ave,83,Ottawa Ave,Sala Ter,9/2/2018,Survey,Yes,Residential
7216,5160000,Ellington Ave,83,Sala Ter,Foote Ave,9/2/2018,Survey,Yes,Residential
7217,21509000,ELLINGTON AVE,100,OTTAWA AVE,Intersection,10/9/2002,Treatment,No,
7218,21539000,Ellington Ave: Whipple Ave Intersection,100,WHIPPLE AVE,Intersection,10/23/2018,Treatment,No,
7219,5168000,Elliot St,94,Raymond Ave,Leland Ave,10/25/2018,Survey,Yes,Residential
7220,5166000,ELLIOT ST,50,TEDDY AVE,ARLETA AVE,10/29/2008,Survey,No,
7221,5193000,Ellis St,100,Broderick St,Saint Josephs Ave \ Terra Vista Ave,12/7/2018,Treatment,Yes,Residential
7222,5192000,Ellis St,100,Divisadero St,Broderick St,10/18/2018,Treatment,Yes,Residential
7223,5173000,Ellis St,58,Taylor St,Jones St,10/12/2018,Survey,Yes,Collector
7224,5172000,Ellis St,61,Mason St,Taylor St,10/12/2018,Survey,Yes,Collector
7225,5176000,Ellis St,65,End,Hyde St,10/12/2018,Survey,Yes,Collector
7226,5179000,Ellis St,71,Polk St,Van Ness Ave,10/12/2018,Survey,Yes,Collector
7227,5174000,Ellis St,75,Jones St,Leavenworth St,10/12/2018,Survey,Yes,Collector
7228,5175000,Ellis St,79,Leavenworth St,End,10/12/2018,Survey,Yes,Collector
7229,5178000,Ellis St,83,Larkin St,Polk St,10/12/2018,Survey,Yes,Collector
7230,5177000,Ellis St,84,Hyde St,Larkin St,10/12/2018,Survey,Yes,Collector
7231,5171000,Ellis St,81,Cyril Magnin St,Mason St,9/30/2018,Survey,Yes,Collector
7232,5170000,Ellis St,84,Powell St,Cyril Magnin St,9/30/2018,Survey,Yes,Collector
