area,county,lsad,lsad_trans,name,perimeter,state,taz,tz06_d00_,tz06_d00_i,geometry
0.000575376,29,,,4,0.107673797,6,4,8926,8927,"POLYGON ((-119.172859 35.383095, -119.163579 35.383127, -119.163451 35.368984, -119.163435 35.364872, -119.172523 35.36538, -119.181324 35.365112, -119.181322 35.368375, -119.181318 35.368787, -119.199084 35.36868, -119.198924 35.3834, -119.18134 35.383048, -119.172859 35.383095))"
0.036760181,73,,,4,1.386673376,6,4,9945,9948,"POLYGON ((-117.088963 33.43033, -117.079662 33.43033, -117.072162 33.43023, -117.072064 33.429383, -117.057583 33.423464, -117.051709 33.414949, -117.047536 33.413789, -117.044331 33.412294, -117.040226 33.409725, -117.038239 33.407445, -117.034316 33.395894, -117.041064 33.390427, -117.04492 33.383021, -117.045686 33.376894, -117.043867 33.370687, -117.040694 33.368904, -117.036644 33.368377, -117.032903 33.368924, -117.032882 33.371704, -117.024294 33.371629, -117.0243 33.367802, -117.012931 33.367813, -117.012833 33.35665, -117.007147 33.356671, -117.007361 33.344533, -116.995807 33.353106, -116.97012 33.342717, -116.936478 33.342848, -116.936409 33.344942, -116.93214 33.344939, -116.927846 33.342894, -116.928239 33.332254, -116.924386 33.328685, -116.91658 33.328686, -116.918773 33.323491, -116.923919 33.316259, -116.933159 33.307089, -116.934754 33.307004, -116.934879 33.30649, -116.933874 33.305353, -116.930364 33.303273, -116.925494 33.301796, -116.925021 33.303618, -116.917446 33.305417, -116.909479 33.305374, -116.901958 33.313935, -116.895748 33.313931, -116.895791 33.299443, -116.875858 33.299135, -116.841157 33.299436, -116.841157 33.285136, -116.823856 33.284536, -116.82395 33.267815, -116.819993 33.25696, -116.819057 33.255637, -116.818807 33.254497, -116.819474 33.248806, -116.825229 33.232924, -116.825524 33.231414, -116.825037 33.230314, -116.82605 33.2219, -116.828986 33.214077, -116.837209 33.199888, -116.838928 33.19907, -116.842076 33.198525, -116.845248 33.195321, -116.847901 33.18786, -116.847979 33.18627, -116.846612 33.182628, -116.848743 33.177853, -116.850311 33.176485, -116.85104 33.175085, -116.852755 33.171397, -116.853384 33.168141, -116.85334 33.159982, -116.849934 33.155478, -116.850699 33.153641, -116.854416 33.156345, -116.855396 33.157558, -116.858369 33.158433, -116.863556 33.159093, -116.867691 33.157947, -116.870083 33.155956, -116.873264 33.155696, -116.874114 33.155835, -116.876013 33.157453, -116.879017 33.15916, -116.881392 33.158329, -116.88465 33.155699, -116.884136 33.156512, -116.888683 33.162427, -116.891376 33.164127, -116.90146 33.163639, -116.91706 33.15204, -116.919716 33.15713, -116.919623 33.160524, -116.921438 33.161505, -116.924326 33.160689, -116.928643 33.15812, -116.932096 33.1579, -116.942861 33.161439, -116.943661 33.165639, -116.942961 33.167539, -116.943061 33.169039, -116.944761 33.170039, -116.945961 33.170339, -116.947661 33.169939, -116.951261 33.167139, -116.964661 33.166439, -116.966861 33.167739, -116.971761 33.179938, -116.971761 33.181138, -116.971961 33.181938, -116.971661 33.183338, -116.971961 33.187038, -116.973261 33.190838, -116.973561 33.196937, -116.972661 33.197637, -116.971561 33.201737, -116.971578 33.219047, -116.973161 33.221537, -116.975661 33.224036, -116.975961 33.228036, -116.968863 33.227406, -116.967593 33.227846, -116.966773 33.228782, -116.96423 33.239696, -116.962892 33.250879, -116.961823 33.252896, -116.955869 33.258986, -116.954054 33.262924, -116.953619 33.276317, -116.954893 33.28399, -116.95916 33.287735, -116.967145 33.289188, -116.973799 33.300269, -116.978352 33.302345, -116.99046 33.31432, -116.993161 33.318734, -117.000838 33.314063, -117.011455 33.308823, -117.019766 33.30664, -117.019891 33.304459, -117.018826 33.303493, -117.015888 33.303849, -117.012474 33.305098, -117.011645 33.303936, -117.01327 33.302219, -117.019726 33.298556, -117.024148 33.292412, -117.027084 33.290104, -117.029241 33.290109, -117.034404 33.293001, -117.040328 33.293959, -117.045289 33.296247, -117.046981 33.297968, -117.046776 33.29997, -117.05057 33.307679, -117.052431 33.308388, -117.054712 33.310612, -117.059583 33.311255, -117.062667 33.312711, -117.064363 33.315233, -117.073567 33.315254, -117.075098 33.313918, -117.080705 33.3118, -117.08387 33.30996, -117.083563 33.306333, -117.084781 33.299674, -117.08363 33.295809, -117.082764 33.289434, -117.083351 33.289126, -117.083943 33.286019, -117.084363 33.281293, -117.083769 33.279201, -117.085151 33.271124, -117.09186 33.269227, -117.093808 33.269536, -117.095633 33.270526, -117.097719 33.270567, -117.106798 33.269807, -117.10893 33.269233, -117.113018 33.277019, -117.114734 33.281305, -117.119731 33.283838, -117.120894 33.284983, -117.121355 33.287135, -117.120817 33.289267, -117.124291 33.293617, -117.124492 33.294469, -117.126273 33.295483, -117.133699 33.29891, -117.136065 33.299533, -117.140265 33.300233, -117.144843 33.299408, -117.15014 33.300269, -117.150384 33.306879, -117.151521 33.311492, -117.157166 33.321182, -117.158425 33.324163, -117.153724 33.327976, -117.148113 33.333514, -117.147971 33.334245, -117.142097 33.34029, -117.140043 33.340662, -117.135365 33.337684, -117.134656 33.337908, -117.133065 33.339832, -117.132638 33.34317, -117.133236 33.343011, -117.13438 33.344198, -117.135605 33.346305, -117.136012 33.360285, -117.133013 33.363809, -117.131851 33.364641, -117.129988 33.364827, -117.127964 33.367931, -117.126852 33.371576, -117.124464 33.372731, -117.121233 33.372932, -117.120676 33.379242, -117.122735 33.38184, -117.125077 33.382886, -117.127891 33.383304, -117.133326 33.387284, -117.131194 33.388545, -117.129826 33.392668, -117.12828 33.401046, -117.12852 33.408396, -117.127455 33.409677, -117.123515 33.41009, -117.120639 33.411357, -117.118091 33.416097, -117.115729 33.421946, -117.10763 33.422117, -117.100745 33.426114, -117.098563 33.43063, -117.094558 33.430505, -117.088963 33.43033))"
2.21E-05,77,,,5,0.019049047,6,5,2756,2757,"POLYGON ((-121.290157 37.953723, -121.284857 37.954623, -121.283757 37.950623, -121.289057 37.949724, -121.289157 37.950223, -121.290157 37.953723))"
0.004108575,47,,,5,0.323148897,6,5,5847,5848,"POLYGON ((-120.343941 37.436692, -120.343216 37.435301, -120.340634 37.436194, -120.340462 37.437269, -120.339974 37.437384, -120.338023 37.43441, -120.338472 37.433466, -120.338911 37.432488, -120.339022 37.419606, -120.338534 37.418577, -120.333801 37.41629, -120.331648 37.41343, -120.333283 37.411805, -120.334745 37.411759, -120.340195 37.409516, -120.350373 37.399607, -120.350745 37.398921, -120.350884 37.390043, -120.351829 37.387366, -120.353147 37.385307, -120.358335 37.381667, -120.361744 37.37741, -120.362144 37.375831, -120.360901 37.370839, -120.359839 37.368757, -120.362932 37.362944, -120.367031 37.362485, -120.37371 37.362528, -120.377833 37.364286, -120.379008 37.363989, -120.379937 37.361149, -120.380388 37.359963, -120.383857 37.358958, -120.385977 37.359531, -120.387384 37.361172, -120.389384 37.36507, -120.3901 37.365642, -120.391971 37.364922, -120.403713 37.374068, -120.413232 37.374449, -120.412463 37.375697, -120.413264 37.382561, -120.412115 37.386405, -120.410107 37.390157, -120.431327 37.390137, -120.436002 37.390229, -120.436345 37.395445, -120.435198 37.400936, -120.435714 37.401325, -120.437378 37.401234, -120.439844 37.404803, -120.417643 37.412329, -120.412422 37.413655, -120.388925 37.419344, -120.378337 37.421421, -120.370292 37.422159, -120.349808 37.433439, -120.343941 37.436692))"
0.000258111,29,,,5,0.07269272,6,5,8764,8765,"POLYGON ((-119.199244 35.441494, -119.198668 35.441494, -119.189836 35.441494, -119.172443 35.441702, -119.172683 35.427462, -119.182395 35.427447, -119.198604 35.440966, -119.199244 35.441494))"
0.127374005,73,,,5,2.334388614,6,5,9946,9949,"POLYGON ((-117.052261 33.43023, -117.030861 33.430131, -117.030861 33.426931, -117.00186 33.426931, -116.981993 33.427694, -116.954054 33.427649, -116.937675 33.427397, -116.895281 33.427015, -116.883713 33.42695, -116.857095 33.426574, -116.617687 33.427354, -116.618015 33.363262, -116.567436 33.362909, -116.567623 33.355886, -116.572433 33.35437, -116.580284 33.354193, -116.580313 33.348778, -116.571548 33.348701, -116.567585 33.347282, -116.566989 33.341586, -116.501414 33.341153, -116.500849 33.250038, -116.499921 33.246756, -116.491511 33.246594, -116.491593 33.231932, -116.495935 33.232059, -116.495659 33.210496, -116.507888 33.210408, -116.507785 33.203028, -116.499532 33.202987, -116.499478 33.191714, -116.494996 33.189835, -116.492952 33.188232, -116.492569 33.186514, -116.494176 33.185115, -116.497445 33.183785, -116.501433 33.177738, -116.512375 33.178133, -116.512517 33.181206, -116.516998 33.181573, -116.516251 33.16734, -116.514645 33.165392, -116.499717 33.158926, -116.495167 33.158035, -116.490645 33.158128, -116.485034 33.156802, -116.479558 33.154856, -116.476153 33.152452, -116.470188 33.151995, -116.465666 33.152729, -116.462779 33.152157, -116.449678 33.14737, -116.436733 33.140354, -116.431812 33.138849, -116.422527 33.13477, -116.417108 33.134448, -116.418089 33.132249, -116.420077 33.129454, -116.426857 33.128378, -116.429226 33.128332, -116.431487 33.129043, -116.434536 33.128562, -116.435871 33.125858, -116.435951 33.124235, -116.435543 33.121738, -116.434399 33.120615, -116.434563 33.119677, -116.438783 33.116401, -116.443819 33.114132, -116.449209 33.110627, -116.450978 33.105746, -116.454653 33.102905, -116.459934 33.100613, -116.468208 33.099626, -116.48519 33.093275, -116.531651 33.078444, -116.536251 33.075144, -116.544203 33.07074, -116.546967 33.068449, -116.547452 33.06741, -116.549767 33.068229, -116.551798 33.070039, -116.575159 33.08528, -116.578946 33.088967, -116.580335 33.091135, -116.583545 33.093681, -116.597754 33.099785, -116.60015 33.101767, -116.601097 33.103258, -116.603452 33.103243, -116.608705 33.101345, -116.610094 33.100674, -116.613667 33.097563, -116.615923 33.096739, -116.618055 33.096345, -116.62315 33.097913, -116.624307 33.097398, -116.625452 33.094945, -116.626913 33.093993, -116.645953 33.094743, -116.646187 33.097523, -116.649816 33.101405, -116.657194 33.107336, -116.658701 33.106998, -116.659457 33.103409, -116.664103 33.098508, -116.664783 33.09858, -116.665729 33.099566, -116.668204 33.103806, -116.668187 33.105536, -116.668158 33.106759, -116.669248 33.109312, -116.67076 33.109903, -116.691758 33.104255, -116.695766 33.101667, -116.699441 33.098039, -116.70663 33.088157, -116.709346 33.08538, -116.713394 33.082336, -116.720288 33.083769, -116.726252 33.085925, -116.733999 33.10156, -116.740738 33.109556, -116.743164 33.11077, -116.752391 33.11381, -116.754459 33.113167, -116.760571 33.109086, -116.763898 33.105577, -116.764939 33.103676, -116.766522 33.102763, -116.769732 33.101952, -116.780099 33.101923, -116.785087 33.111416, -116.786812 33.118434, -116.786103 33.12045, -116.788035 33.122987, -116.79085 33.122832, -116.792551 33.122784, -116.794723 33.124807, -116.800405 33.123459, -116.802614 33.123637, -116.804545 33.125271, -116.80693 33.125694, -116.807723 33.125043, -116.807468 33.122733, -116.813707 33.12266, -116.815007 33.122652, -116.820069 33.122622, -116.820356 33.12452, -116.823005 33.125151, -116.832857 33.124415, -116.836229 33.123637, -116.840087 33.121417, -116.840337 33.120529, -116.841541 33.119472, -116.845691 33.117808, -116.848108 33.118261, -116.851153 33.120135, -116.852838 33.120314, -116.854379 33.11869, -116.855355 33.113968, -116.85397 33.10968, -116.854427 33.108102, -116.855486 33.106711, -116.857905 33.105991, -116.860762 33.106347, -116.863031 33.107527, -116.867575 33.107149, -116.873489 33.102294, -116.876035 33.100911, -116.878681 33.09998, -116.880983 33.097609, -116.881558 33.096069, -116.88344 33.094636, -116.887876 33.094132, -116.892548 33.092824, -116.89266 33.090442, -116.89386 33.090142, -116.8962 33.091824, -116.895021 33.096215, -116.892559 33.09998, -116.892274 33.103903, -116.892581 33.112506, -116.894271 33.118486, -116.896534 33.123097, -116.897146 33.13333, -116.892484 33.150716, -116.890251 33.153793, -116.888813 33.154924, -116.886863 33.155707, -116.88465 33.155699, -116.881392 33.158329, -116.879017 33.15916, -116.876013 33.157453, -116.874114 33.155835, -116.873264 33.155696, -116.870083 33.155956, -116.867691 33.157947, -116.863556 33.159093, -116.858369 33.158433, -116.855396 33.157558, -116.854416 33.156345, -116.850699 33.153641, -116.849934 33.155478, -116.85334 33.159982, -116.853384 33.168141, -116.852755 33.171397, -116.85104 33.175085, -116.850311 33.176485, -116.848743 33.177853, -116.846612 33.182628, -116.847979 33.18627, -116.847901 33.18786, -116.845248 33.195321, -116.842076 33.198525, -116.838928 33.19907, -116.837209 33.199888, -116.828986 33.214077, -116.82605 33.2219, -116.825037 33.230314, -116.825524 33.231414, -116.825229 33.232924, -116.819474 33.248806, -116.818807 33.254497, -116.819057 33.255637, -116.819993 33.25696, -116.82395 33.267815, -116.823856 33.284536, -116.841157 33.285136, -116.841157 33.299436, -116.875858 33.299135, -116.895791 33.299443, -116.895748 33.313931, -116.901958 33.313935, -116.909479 33.305374, -116.917446 33.305417, -116.925021 33.303618, -116.925494 33.301796, -116.930364 33.303273, -116.933874 33.305353, -116.934879 33.30649, -116.934754 33.307004, -116.933159 33.307089, -116.923919 33.316259, -116.918773 33.323491, -116.91658 33.328686, -116.924386 33.328685, -116.928239 33.332254, -116.927846 33.342894, -116.93214 33.344939, -116.936409 33.344942, -116.936478 33.342848, -116.97012 33.342717, -116.995807 33.353106, -117.007361 33.344533, -117.007147 33.356671, -117.012833 33.35665, -117.012931 33.367813, -117.0243 33.367802, -117.024294 33.371629, -117.032882 33.371704, -117.032903 33.368924, -117.036644 33.368377, -117.040694 33.368904, -117.043867 33.370687, -117.045686 33.376894, -117.04492 33.383021, -117.041064 33.390427, -117.034316 33.395894, -117.038239 33.407445, -117.040226 33.409725, -117.044331 33.412294, -117.047536 33.413789, -117.051709 33.414949, -117.057583 33.423464, -117.072064 33.429383, -117.072162 33.43023, -117.052261 33.43023))"
1.94E-05,77,,,6,0.018030725,6,6,2783,2784,"POLYGON ((-121.289057 37.949724, -121.283757 37.950623, -121.282757 37.947124, -121.288057 37.946224, -121.289057 37.949724))"
0.0084689,47,,,6,0.391609897,6,6,5144,5145,"POLYGON ((-120.38767 37.633364, -120.376025 37.614434, -120.354889 37.579465, -120.352443 37.575486, -120.330532 37.539663, -120.32763 37.534172, -120.329495 37.523855, -120.334665 37.522115, -120.346299 37.519962, -120.362496 37.516227, -120.366776 37.515768, -120.376044 37.517901, -120.4058 37.522193, -120.429563 37.523311, -120.42938 37.528115, -120.429283 37.531576, -120.425714 37.543398, -120.425512 37.579102, -120.426941 37.580837, -120.433826 37.584462, -120.438257 37.588633, -120.440327 37.593986, -120.445237 37.599503, -120.450036 37.607291, -120.450142 37.609177, -120.38767 37.633364))"
0.000143197,29,,,6,0.051867195,6,6,8891,8892,"POLYGON ((-119.145738 35.391127, -119.145638 35.383059, -119.154731 35.383143, -119.163579 35.383127, -119.163627 35.391095, -119.145738 35.391127))"
0.267434659,73,,,6,3.057922968,6,6,9947,9950,"POLYGON ((-116.617687 33.427354, -116.518401 33.426887, -116.419678 33.42727, -116.419373 33.427271, -116.268822 33.428139, -116.197561 33.428892, -116.129901 33.426111, -116.085165 33.425932, -116.085148 33.339216, -116.081986 33.235047, -116.081225 33.191057, -116.081091 33.074845, -116.103252 33.07467, -116.103039 32.94714, -116.103137 32.904115, -116.103199 32.875055, -116.102877 32.874749, -116.102558 32.857759, -116.103726 32.837745, -116.10378 32.797459, -116.103147 32.726501, -116.105647 32.726495, -116.105942 32.644214, -116.109272 32.638974, -116.113333 32.637277, -116.147978 32.634484, -116.161895 32.635839, -116.167148 32.636894, -116.17611 32.642806, -116.195365 32.650367, -116.20433 32.658018, -116.208697 32.660492, -116.209446 32.697234, -116.208021 32.711715, -116.209272 32.72662, -116.223358 32.726275, -116.223297 32.740562, -116.220037 32.814049, -116.220088 32.828781, -116.308973 32.829428, -116.309489 32.815087, -116.326317 32.814946, -116.326493 32.829611, -116.33463 32.829618, -116.334919 32.851282, -116.326464 32.851388, -116.318167 32.858535, -116.318259 32.871162, -116.322523 32.865838, -116.324233 32.86444, -116.326948 32.865288, -116.331047 32.865356, -116.339898 32.863659, -116.34329 32.861298, -116.357187 32.857354, -116.361366 32.855221, -116.364187 32.851371, -116.367899 32.839524, -116.368033 32.837485, -116.369028 32.836029, -116.375228 32.831404, -116.376689 32.837527, -116.377529 32.838925, -116.383496 32.844633, -116.392287 32.85089, -116.398393 32.852496, -116.401759 32.852589, -116.415411 32.855067, -116.418723 32.854449, -116.419376 32.8506, -116.420787 32.852341, -116.422089 32.856603, -116.420324 32.858734, -116.416306 32.858069, -116.414243 32.858366, -116.41332 32.858962, -116.412695 32.862902, -116.41386 32.869042, -116.411394 32.873337, -116.416133 32.882846, -116.420291 32.889495, -116.422572 32.891901, -116.424174 32.892795, -116.427623 32.891833, -116.426618 32.889335, -116.428031 32.885509, -116.430285 32.884066, -116.438539 32.888786, -116.44321 32.889977, -116.447745 32.892909, -116.453069 32.898339, -116.455101 32.901953, -116.460975 32.911168, -116.465702 32.914261, -116.477224 32.924544, -116.478121 32.924887, -116.48043 32.923947, -116.482603 32.924313, -116.483744 32.925115, -116.484723 32.926718, -116.484917 32.932996, -116.49079 32.941952, -116.493319 32.944495, -116.495058 32.945112, -116.499705 32.945132, -116.504221 32.948798, -116.507098 32.95352, -116.512037 32.965299, -116.51323 32.970065, -116.517359 32.974626, -116.530622 32.981091, -116.532822 32.984666, -116.532712 32.988583, -116.533065 32.989821, -116.534506 32.991631, -116.537822 32.993602, -116.543069 32.994291, -116.544999 32.995322, -116.555295 33.004399, -116.558551 33.008746, -116.561351 33.010946, -116.561792 33.014099, -116.55958 33.016587, -116.550284 33.019586, -116.54502 33.019576, -116.542676 33.015786, -116.537298 33.013278, -116.529261 33.011664, -116.527583 33.012371, -116.526755 33.014015, -116.527927 33.020126, -116.530923 33.027494, -116.533934 33.032419, -116.536303 33.035231, -116.540109 33.045097, -116.540851 33.050633, -116.543826 33.057104, -116.547452 33.06741, -116.546967 33.068449, -116.544203 33.07074, -116.536251 33.075144, -116.531651 33.078444, -116.48519 33.093275, -116.468208 33.099626, -116.459934 33.100613, -116.454653 33.102905, -116.450978 33.105746, -116.449209 33.110627, -116.443819 33.114132, -116.438783 33.116401, -116.434563 33.119677, -116.434399 33.120615, -116.435543 33.121738, -116.435951 33.124235, -116.435871 33.125858, -116.434536 33.128562, -116.431487 33.129043, -116.429226 33.128332, -116.426857 33.128378, -116.420077 33.129454, -116.418089 33.132249, -116.417108 33.134448, -116.422527 33.13477, -116.431812 33.138849, -116.436733 33.140354, -116.449678 33.14737, -116.462779 33.152157, -116.465666 33.152729, -116.470188 33.151995, -116.476153 33.152452, -116.479558 33.154856, -116.485034 33.156802, -116.490645 33.158128, -116.495167 33.158035, -116.499717 33.158926, -116.514645 33.165392, -116.516251 33.16734, -116.516998 33.181573, -116.512517 33.181206, -116.512375 33.178133, -116.501433 33.177738, -116.497445 33.183785, -116.494176 33.185115, -116.492569 33.186514, -116.492952 33.188232, -116.494996 33.189835, -116.499478 33.191714, -116.499532 33.202987, -116.507785 33.203028, -116.507888 33.210408, -116.495659 33.210496, -116.495935 33.232059, -116.491593 33.231932, -116.491511 33.246594, -116.499921 33.246756, -116.500849 33.250038, -116.501414 33.341153, -116.566989 33.341586, -116.567585 33.347282, -116.571548 33.348701, -116.580313 33.348778, -116.580284 33.354193, -116.572433 33.35437, -116.567623 33.355886, -116.567436 33.362909, -116.618015 33.363262, -116.617687 33.427354))"
